player,team,market,line,over_price,under_price,event,home_team,away_team,game_time,book,position,market_key,proj,edge,over_ev,under_ev,note,rank_score
To Record 100+ Rushing Yards,MIA,Rushing Yards,,600.0,,Miami Dolphins @ Buffalo Bills,Bills,Dolphins,1758240900000,Bovada,,rush_yards,,,,,projection_missing,0.0
To Record 110+ Receiving Yards,MIA,Receiving Yards,,750.0,,Miami Dolphins @ Buffalo Bills,Bills,Dolphins,1758240900000,Bovada,,rec_yards,,,,,projection_missing,0.0
To Record 110+ Rushing Yards,BUF,Rushing Yards,,400.0,,Miami Dolphins @ Buffalo Bills,Bills,Dolphins,1758240900000,Bovada,,rush_yards,,,,,projection_missing,0.0
To Record 125+ Receiving Yards,MIA,Receiving Yards,,1100.0,,Miami Dolphins @ Buffalo Bills,Bills,Dolphins,1758240900000,Bovada,,rec_yards,,,,,projection_missing,0.0
To Record 125+ Rushing Yards,BUF,Rushing Yards,,650.0,,Miami Dolphins @ Buffalo Bills,Bills,Dolphins,1758240900000,Bovada,,rush_yards,,,,,projection_missing,0.0
To Record 15+ Receiving Yards,BUF,Receiving Yards,,-425.0,,Miami Dolphins @ Buffalo Bills,Bills,Dolphins,1758240900000,Bovada,,rec_yards,,,,,projection_missing,0.0
To Record 15+ Rushing Yards,BUF,Rushing Yards,,-435.0,,Miami Dolphins @ Buffalo Bills,Bills,Dolphins,1758240900000,Bovada,,rush_yards,,,,,projection_missing,0.0
To Record 150+ Receiving Yards,MIA,Receiving Yards,,1100.0,,Miami Dolphins @ Buffalo Bills,Bills,Dolphins,1758240900000,Bovada,,rec_yards,,,,,projection_missing,0.0
To Record 150+ Rushing Yards,BUF,Rushing Yards,,1300.0,,Miami Dolphins @ Buffalo Bills,Bills,Dolphins,1758240900000,Bovada,,rush_yards,,,,,projection_missing,0.0
To Record 150+ Passing Yards,BUF,Passing Yards,,-1500.0,,Miami Dolphins @ Buffalo Bills,Bills,Dolphins,1758240900000,Bovada,,pass_yards,,,,,projection_missing,0.0
To Record 375+ Passing Yards,MIA,Passing Yards,,1400.0,,Miami Dolphins @ Buffalo Bills,Bills,Dolphins,1758240900000,Bovada,,pass_yards,,,,,projection_missing,0.0
To Record 275+ Passing Yards,BUF,Passing Yards,,210.0,,Miami Dolphins @ Buffalo Bills,Bills,Dolphins,1758240900000,Bovada,,pass_yards,,,,,projection_missing,0.0
To Record 3+ Receptions,BUF,Receptions,,-190.0,,Miami Dolphins @ Buffalo Bills,Bills,Dolphins,1758240900000,Bovada,,receptions,,,,,projection_missing,0.0
To Record 8+ Receptions,MIA,Receptions,,220.0,,Miami Dolphins @ Buffalo Bills,Bills,Dolphins,1758240900000,Bovada,,receptions,,,,,projection_missing,0.0
To Record 80+ Receiving Yards,BUF,Receiving Yards,,1000.0,,Miami Dolphins @ Buffalo Bills,Bills,Dolphins,1758240900000,Bovada,,rec_yards,,,,,projection_missing,0.0
To Record 80+ Rushing Yards,MIA,Rushing Yards,,260.0,,Miami Dolphins @ Buffalo Bills,Bills,Dolphins,1758240900000,Bovada,,rush_yards,,,,,projection_missing,0.0
To Record 90+ Receiving Yards,BUF,Receiving Yards,,1400.0,,Miami Dolphins @ Buffalo Bills,Bills,Dolphins,1758240900000,Bovada,,rec_yards,,,,,projection_missing,0.0
To Record 90+ Rushing Yards,MIA,Rushing Yards,,400.0,,Miami Dolphins @ Buffalo Bills,Bills,Dolphins,1758240900000,Bovada,,rush_yards,,,,,projection_missing,0.0
Tua Tagovailoa (MIA) & Buffalo Bills,,Anytime TD,,1400.0,,Miami Dolphins @ Buffalo Bills,Bills,Dolphins,1758240900000,Bovada,,any_td,,,,,projection_missing,0.0
Tua Tagovailoa (MIA) & Miami Dolphins,,Anytime TD,,4000.0,,Miami Dolphins @ Buffalo Bills,Bills,Dolphins,1758240900000,Bovada,,any_td,,,,,projection_missing,0.0
Tua Tagovailoa (MIA) - 1Q,,Anytime TD,,5000.0,,Miami Dolphins @ Buffalo Bills,Bills,Dolphins,1758240900000,Bovada,,any_td,,,,,projection_missing,0.0
Ty Johnson (BUF) & Buffalo Bills,,Anytime TD,,500.0,,Miami Dolphins @ Buffalo Bills,Bills,Dolphins,1758240900000,Bovada,,any_td,,,,,projection_missing,0.0
Ty Johnson (BUF) & Miami Dolphins,,Anytime TD,,7000.0,,Miami Dolphins @ Buffalo Bills,Bills,Dolphins,1758240900000,Bovada,,any_td,,,,,projection_missing,0.0
Ty Johnson (BUF) - 1Q,,Anytime TD,,1600.0,,Miami Dolphins @ Buffalo Bills,Bills,Dolphins,1758240900000,Bovada,,any_td,,,,,projection_missing,0.0
Tyreek Hill (MIA) & Buffalo Bills,,Anytime TD,,210.0,,Miami Dolphins @ Buffalo Bills,Bills,Dolphins,1758240900000,Bovada,,any_td,,,,,projection_missing,0.0
Tyreek Hill (MIA) & Miami Dolphins,,Anytime TD,,800.0,,Miami Dolphins @ Buffalo Bills,Bills,Dolphins,1758240900000,Bovada,,any_td,,,,,projection_missing,0.0
Tyreek Hill (MIA) - 1Q,,Anytime TD,,900.0,,Miami Dolphins @ Buffalo Bills,Bills,Dolphins,1758240900000,Bovada,,any_td,,,,,projection_missing,0.0
Tyrell Shavers (BUF) & Buffalo Bills,,Anytime TD,,1300.0,,Miami Dolphins @ Buffalo Bills,Bills,Dolphins,1758240900000,Bovada,,any_td,,,,,projection_missing,0.0
To Record 70+ Rushing Yards,MIA,Rushing Yards,,170.0,,Miami Dolphins @ Buffalo Bills,Bills,Dolphins,1758240900000,Bovada,,rush_yards,,,,,projection_missing,0.0
To Record 70+ Receiving Yards,BUF,Receiving Yards,,725.0,,Miami Dolphins @ Buffalo Bills,Bills,Dolphins,1758240900000,Bovada,,rec_yards,,,,,projection_missing,0.0
To Record 7+ Receptions,MIA,Receptions,,130.0,,Miami Dolphins @ Buffalo Bills,Bills,Dolphins,1758240900000,Bovada,,receptions,,,,,projection_missing,0.0
To Record 4+ Receptions,BUF,Receptions,,130.0,,Miami Dolphins @ Buffalo Bills,Bills,Dolphins,1758240900000,Bovada,,receptions,,,,,projection_missing,0.0
To Record 30+ Receiving Yards,BUF,Receiving Yards,,-120.0,,Miami Dolphins @ Buffalo Bills,Bills,Dolphins,1758240900000,Bovada,,rec_yards,,,,,projection_missing,0.0
To Record 30+ Rushing Yards,MIA,Rushing Yards,,-775.0,,Miami Dolphins @ Buffalo Bills,Bills,Dolphins,1758240900000,Bovada,,rush_yards,,,,,projection_missing,0.0
To Record 300+ Passing Yards,BUF,Passing Yards,,400.0,,Miami Dolphins @ Buffalo Bills,Bills,Dolphins,1758240900000,Bovada,,pass_yards,,,,,projection_missing,0.0
To Record 325+ Passing Yards,BUF,Passing Yards,,675.0,,Miami Dolphins @ Buffalo Bills,Bills,Dolphins,1758240900000,Bovada,,pass_yards,,,,,projection_missing,0.0
To Record 350+ Passing Yards,BUF,Passing Yards,,1100.0,,Miami Dolphins @ Buffalo Bills,Bills,Dolphins,1758240900000,Bovada,,pass_yards,,,,,projection_missing,0.0
Ray Davis (BUF) & Miami Dolphins,,Anytime TD,,4000.0,,Miami Dolphins @ Buffalo Bills,Bills,Dolphins,1758240900000,Bovada,,any_td,,,,,projection_missing,0.0
To Record 40+ Receiving Yards,BUF,Receiving Yards,,150.0,,Miami Dolphins @ Buffalo Bills,Bills,Dolphins,1758240900000,Bovada,,rec_yards,,,,,projection_missing,0.0
To Record 60+ Rushing Yards,MIA,Rushing Yards,,,,Miami Dolphins @ Buffalo Bills,Bills,Dolphins,1758240900000,Bovada,,rush_yards,,,,,projection_missing,0.0
To Record 40+ Rushing Yards,MIA,Rushing Yards,,-345.0,,Miami Dolphins @ Buffalo Bills,Bills,Dolphins,1758240900000,Bovada,,rush_yards,,,,,projection_missing,0.0
To Record 5+ Receptions,BUF,Receptions,,275.0,,Miami Dolphins @ Buffalo Bills,Bills,Dolphins,1758240900000,Bovada,,receptions,,,,,projection_missing,0.0
To Record 50+ Receiving Yards,BUF,Receiving Yards,,275.0,,Miami Dolphins @ Buffalo Bills,Bills,Dolphins,1758240900000,Bovada,,rec_yards,,,,,projection_missing,0.0
To Record 50+ Rushing Yards,MIA,Rushing Yards,,-175.0,,Miami Dolphins @ Buffalo Bills,Bills,Dolphins,1758240900000,Bovada,,rush_yards,,,,,projection_missing,0.0
To Record 6+ Receptions,BUF,Receptions,,550.0,,Miami Dolphins @ Buffalo Bills,Bills,Dolphins,1758240900000,Bovada,,receptions,,,,,projection_missing,0.0
To Record 60+ Receiving Yards,BUF,Receiving Yards,,450.0,,Miami Dolphins @ Buffalo Bills,Bills,Dolphins,1758240900000,Bovada,,rec_yards,,,,,projection_missing,0.0
Ray Davis (BUF) - 1Q,,Anytime TD,,1400.0,,Miami Dolphins @ Buffalo Bills,Bills,Dolphins,1758240900000,Bovada,,any_td,,,,,projection_missing,0.0
Miami Dolphins Defense,BUF,Anytime TD,,800.0,,Miami Dolphins @ Buffalo Bills,Bills,Dolphins,1758240900000,Bovada,,any_td,,,,,projection_missing,0.0
Ray Davis (BUF) & Buffalo Bills,,Anytime TD,,320.0,,Miami Dolphins @ Buffalo Bills,Bills,Dolphins,1758240900000,Bovada,,any_td,,,,,projection_missing,0.0
Jaylen Waddle (MIA) - 1Q,,Anytime TD,,1000.0,,Miami Dolphins @ Buffalo Bills,Bills,Dolphins,1758240900000,Bovada,,any_td,,,,,projection_missing,0.0
Jaylen Waddle (MIA) & Buffalo Bills,,Anytime TD,,260.0,,Miami Dolphins @ Buffalo Bills,Bills,Dolphins,1758240900000,Bovada,,any_td,,,,,projection_missing,0.0
Ollie Gordon II (MIA) - 1Q,,Anytime TD,,2500.0,,Miami Dolphins @ Buffalo Bills,Bills,Dolphins,1758240900000,Bovada,,any_td,,,,,projection_missing,0.0
James Cook (BUF) - 1Q,,Anytime TD,,350.0,,Miami Dolphins @ Buffalo Bills,Bills,Dolphins,1758240900000,Bovada,,any_td,,,,,projection_missing,0.0
James Cook (BUF) & Miami Dolphins,,Anytime TD,,1700.0,,Miami Dolphins @ Buffalo Bills,Bills,Dolphins,1758240900000,Bovada,,any_td,,,,,projection_missing,0.0
James Cook (BUF) & Buffalo Bills,,Anytime TD,,-175.0,,Miami Dolphins @ Buffalo Bills,Bills,Dolphins,1758240900000,Bovada,,any_td,,,,,projection_missing,0.0
Jackson Hawes (BUF) - 1Q,,Anytime TD,,2500.0,,Miami Dolphins @ Buffalo Bills,Bills,Dolphins,1758240900000,Bovada,,any_td,,,,,projection_missing,0.0
Jackson Hawes (BUF) & Miami Dolphins,,Anytime TD,,10000.0,,Miami Dolphins @ Buffalo Bills,Bills,Dolphins,1758240900000,Bovada,,any_td,,,,,projection_missing,0.0
Jackson Hawes (BUF) & Buffalo Bills,,Anytime TD,,1100.0,,Miami Dolphins @ Buffalo Bills,Bills,Dolphins,1758240900000,Bovada,,any_td,,,,,projection_missing,0.0
Elijah Moore (BUF) - 1Q,,Anytime TD,,2000.0,,Miami Dolphins @ Buffalo Bills,Bills,Dolphins,1758240900000,Bovada,,any_td,,,,,projection_missing,0.0
Devon Achane (MIA) - 1Q,,Anytime TD,,650.0,,Miami Dolphins @ Buffalo Bills,Bills,Dolphins,1758240900000,Bovada,,any_td,,,,,projection_missing,0.0
Dee Eskridge - 1Q,,Anytime TD,,5000.0,,Miami Dolphins @ Buffalo Bills,Bills,Dolphins,1758240900000,Bovada,,any_td,,,,,projection_missing,0.0
Dee Eskridge (MIA) & Miami Dolphins,,Anytime TD,,4000.0,,Miami Dolphins @ Buffalo Bills,Bills,Dolphins,1758240900000,Bovada,,any_td,,,,,projection_missing,0.0
Dee Eskridge (MIA) & Buffalo Bills,,Anytime TD,,1400.0,,Miami Dolphins @ Buffalo Bills,Bills,Dolphins,1758240900000,Bovada,,any_td,,,,,projection_missing,0.0
De'Von Achane (MIA) & Miami Dolphins,,Anytime TD,,550.0,,Miami Dolphins @ Buffalo Bills,Bills,Dolphins,1758240900000,Bovada,,any_td,,,,,projection_missing,0.0
De'Von Achane (MIA) & Buffalo Bills,,Anytime TD,,125.0,,Miami Dolphins @ Buffalo Bills,Bills,Dolphins,1758240900000,Bovada,,any_td,,,,,projection_missing,0.0
De'Von Achane,BUF,Anytime TD,,,,Miami Dolphins @ Buffalo Bills,Bills,Dolphins,1758240900000,Bovada,RB,any_td,0.5415,,,,,0.0
Dawson Knox (BUF) - 1Q,,Anytime TD,,1600.0,,Miami Dolphins @ Buffalo Bills,Bills,Dolphins,1758240900000,Bovada,,any_td,,,,,projection_missing,0.0
Dawson Knox (BUF) & Miami Dolphins,,Anytime TD,,5500.0,,Miami Dolphins @ Buffalo Bills,Bills,Dolphins,1758240900000,Bovada,,any_td,,,,,projection_missing,0.0
Dawson Knox (BUF) & Buffalo Bills,,Anytime TD,,400.0,,Miami Dolphins @ Buffalo Bills,Bills,Dolphins,1758240900000,Bovada,,any_td,,,,,projection_missing,0.0
Darren Waller (MIA) & Miami Dolphins,,Anytime TD,,1800.0,,Miami Dolphins @ Buffalo Bills,Bills,Dolphins,1758240900000,Bovada,,any_td,,,,,projection_missing,0.0
Darren Waller (MIA) & Buffalo Bills,,Anytime TD,,500.0,,Miami Dolphins @ Buffalo Bills,Bills,Dolphins,1758240900000,Bovada,,any_td,,,,,projection_missing,0.0
Dalton Kincaid (BUF) - 1Q,,Anytime TD,,1000.0,,Miami Dolphins @ Buffalo Bills,Bills,Dolphins,1758240900000,Bovada,,any_td,,,,,projection_missing,0.0
Dalton Kincaid (BUF) & Miami Dolphins,,Anytime TD,,4000.0,,Miami Dolphins @ Buffalo Bills,Bills,Dolphins,1758240900000,Bovada,,any_td,,,,,projection_missing,0.0
Dalton Kincaid (BUF) & Buffalo Bills,,Anytime TD,,275.0,,Miami Dolphins @ Buffalo Bills,Bills,Dolphins,1758240900000,Bovada,,any_td,,,,,projection_missing,0.0
Curtis Samuel (BUF) - 1Q,,Anytime TD,,2200.0,,Miami Dolphins @ Buffalo Bills,Bills,Dolphins,1758240900000,Bovada,,any_td,,,,,projection_missing,0.0
Buffalo Bills Defense,BUF,Anytime TD,,440.0,,Miami Dolphins @ Buffalo Bills,Bills,Dolphins,1758240900000,Bovada,,any_td,,,,,projection_missing,0.0
BUF Bills D/ST - 1Q,,Anytime TD,,1800.0,,Miami Dolphins @ Buffalo Bills,Bills,Dolphins,1758240900000,Bovada,,any_td,,,,,projection_missing,0.0
Alec Ingold (MIA) - 1Q,,Anytime TD,,5000.0,,Miami Dolphins @ Buffalo Bills,Bills,Dolphins,1758240900000,Bovada,,any_td,,,,,projection_missing,0.0
Alec Ingold (MIA) & Miami Dolphins,,Anytime TD,,5000.0,,Miami Dolphins @ Buffalo Bills,Bills,Dolphins,1758240900000,Bovada,,any_td,,,,,projection_missing,0.0
Jaylen Waddle (MIA) & Miami Dolphins,,Anytime TD,,1000.0,,Miami Dolphins @ Buffalo Bills,Bills,Dolphins,1758240900000,Bovada,,any_td,,,,,projection_missing,0.0
Tyrell Shavers (BUF) - 1Q,,Anytime TD,,3000.0,,Miami Dolphins @ Buffalo Bills,Bills,Dolphins,1758240900000,Bovada,,any_td,,,,,projection_missing,0.0
Jeff Wilson Jr. (MIA) - 1Q,,Anytime TD,,5000.0,,Miami Dolphins @ Buffalo Bills,Bills,Dolphins,1758240900000,Bovada,,any_td,,,,,projection_missing,0.0
Keon Coleman (BUF) & Miami Dolphins,,Anytime TD,,3300.0,,Miami Dolphins @ Buffalo Bills,Bills,Dolphins,1758240900000,Bovada,,any_td,,,,,projection_missing,0.0
MIA Dolphins D/ST - 1Q,,Anytime TD,,1600.0,,Miami Dolphins @ Buffalo Bills,Bills,Dolphins,1758240900000,Bovada,,any_td,,,,,projection_missing,0.0
Malik Washington (MIA) - 1Q,,Anytime TD,,2000.0,,Miami Dolphins @ Buffalo Bills,Bills,Dolphins,1758240900000,Bovada,,any_td,,,,,projection_missing,0.0
Malik Washington (MIA) & Miami Dolphins,,Anytime TD,,1700.0,,Miami Dolphins @ Buffalo Bills,Bills,Dolphins,1758240900000,Bovada,,any_td,,,,,projection_missing,0.0
Malik Washington (MIA) & Buffalo Bills,,Anytime TD,,500.0,,Miami Dolphins @ Buffalo Bills,Bills,Dolphins,1758240900000,Bovada,,any_td,,,,,projection_missing,0.0
Malik Washington,BUF,Receiving Yards,,2000.0,,Miami Dolphins @ Buffalo Bills,Bills,Dolphins,1758240900000,Bovada,WR,rec_yards,26.9,,,,,0.0
Nick Westbrook-Ikhine (MIA) & Miami Dolphins,,Anytime TD,,2000.0,,Miami Dolphins @ Buffalo Bills,Bills,Dolphins,1758240900000,Bovada,,any_td,,,,,projection_missing,0.0
Khalil Shakir (BUF) - 1Q,,Anytime TD,,850.0,,Miami Dolphins @ Buffalo Bills,Bills,Dolphins,1758240900000,Bovada,,any_td,,,,,projection_missing,0.0
Khalil Shakir (BUF) & Miami Dolphins,,Anytime TD,,3300.0,,Miami Dolphins @ Buffalo Bills,Bills,Dolphins,1758240900000,Bovada,,any_td,,,,,projection_missing,0.0
Khalil Shakir (BUF) & Buffalo Bills,,Anytime TD,,240.0,,Miami Dolphins @ Buffalo Bills,Bills,Dolphins,1758240900000,Bovada,,any_td,,,,,projection_missing,0.0
Keon Coleman (BUF) - 1Q,,Anytime TD,,750.0,,Miami Dolphins @ Buffalo Bills,Bills,Dolphins,1758240900000,Bovada,,any_td,,,,,projection_missing,0.0
Nick Westbrook-Ikhine (MIA) - 1Q,,Anytime TD,,2800.0,,Miami Dolphins @ Buffalo Bills,Bills,Dolphins,1758240900000,Bovada,,any_td,,,,,projection_missing,0.0
Alec Ingold (MIA) & Buffalo Bills,,Anytime TD,,1700.0,,Miami Dolphins @ Buffalo Bills,Bills,Dolphins,1758240900000,Bovada,,any_td,,,,,projection_missing,0.0
Ollie Gordon II (MIA) & Buffalo Bills,,Anytime TD,,600.0,,Miami Dolphins @ Buffalo Bills,Bills,Dolphins,1758240900000,Bovada,,any_td,,,,,projection_missing,0.0
Keon Coleman (BUF) & Buffalo Bills,,Anytime TD,,200.0,,Miami Dolphins @ Buffalo Bills,Bills,Dolphins,1758240900000,Bovada,,any_td,,,,,projection_missing,0.0
